Accession,Source Database,Name,Tax ID,Tax Name,Length
A0A087WPF7,reviewed,Autism susceptibility gene 2 protein homolog,10090,Mus musculus,1261
A0A088MLT8,reviewed,IQCJ-SCHIP1 readthrough transcript protein,10090,Mus musculus,559
A0A0A6YXX9,reviewed,Cation channel sperm-associated protein subunit epsilon-like protein,10090,Mus musculus,775
A0A0A6YY25,reviewed,BTB/POZ domain-containing protein 18,10090,Mus musculus,723
A0A0B4J1F4,reviewed,Arrestin domain-containing protein 4,10090,Mus musculus,415
A0A0B4J1G0,reviewed,Low affinity immunoglobulin gamma Fc region receptor III-A,10090,Mus musculus,249
A0A0B4J1L0,reviewed,Carcinoembryonic antigen-related cell adhesion molecule 15,10090,Mus musculus,234
A0A0B4J1N3,reviewed,Protein GPR15LG,10090,Mus musculus,78
A0A0G2JDV3,reviewed,Guanylate-binding protein 6,10090,Mus musculus,611
A0A0G2JEB6,reviewed,Cilia and flagella-associated protein 47,10090,Mus musculus,3184
A0A0M3U1B0,reviewed,Synaptonemal complex protein 2-like,10090,Mus musculus,842
A0A0U1RPR8,reviewed,Guanylate cyclase D,10090,Mus musculus,1117
A0A140LHF2,reviewed,V-set and immunoglobulin domain-containing protein 10-like 2,10090,Mus musculus,776
A0A140LI88,reviewed,Ankyrin repeat domain-containing protein 31,10090,Mus musculus,1857
A0A140LIF8,reviewed,Immunity-related GTPase family M protein 2,10090,Mus musculus,395
A0A140LIJ0,reviewed,DC-STAMP domain-containing protein 2,10090,Mus musculus,701
A0A1B0GQX3,reviewed,Cortexin domain containing 2,10090,Mus musculus,59
A0A1B0GSN8,reviewed,Serine-rich and transmembrane domain-containing 2,10090,Mus musculus,89
A0A1B0GST9,reviewed,Cortexin domain-containing 1 protein,10090,Mus musculus,59
A0A1D5RMD1,reviewed,IQ domain-containing protein N,10090,Mus musculus,1437
A0A1L1SUL6,reviewed,Thioredoxin domain-containing protein 6,10090,Mus musculus,329
